date,equity,strategy_return
2022-01-10 09:15:00,100000.0,0.0
2022-01-10 09:30:00,100142.82919193896,0.001428291919389535
2022-01-10 09:45:00,100325.06917852252,0.0018198006592591298
2022-01-10 10:00:00,100442.1835257288,0.0011673487809700234
2022-01-10 10:15:00,100469.8549347346,0.00027549589260678076
2022-01-10 10:30:00,100292.08709506107,-0.0017693649482126705
2022-01-10 10:45:00,100411.43751572238,0.001190028287557654
2022-01-10 11:00:00,100409.76046063114,-1.6701833304488822e-05
2022-01-10 11:15:00,100244.29102496018,-0.0016479417430322885
2022-01-10 11:30:00,100268.32881460157,0.000239792105820813
2022-01-10 11:45:00,100116.55532884256,-0.0015136732361386018
2022-01-10 12:00:00,100283.42231042292,0.0016667271564854147
2022-01-10 12:15:00,100344.355312072,0.0006076079200854068
2022-01-10 12:30:00,100415.07113508681,0.000704731449964191
2022-01-10 12:45:00,100403.0522402661,-0.00011969214068008327
2022-01-10 13:00:00,100418.14573608745,0.00015032905359513293
2022-01-10 13:15:00,100364.20046398527,-0.0005372064153021938
2022-01-10 13:30:00,100475.16560919028,0.0011056247615386372
2022-01-10 13:45:00,100457.83603991395,-0.0001724761454361401
2022-01-10 14:00:00,100424.8539564525,-0.0003283176779593777
2022-01-10 14:15:00,100491.09763255724,0.0006596342787161813
2022-01-10 14:30:00,100484.94843055596,-6.119150995609335e-05
2022-01-10 14:45:00,100593.95701148784,0.0010848249676638222
2022-01-10 15:00:00,100648.46130195378,0.0005418246988704301
2022-01-10 15:15:00,100653.77197640942,5.2764586631059984e-05
2022-01-11 09:15:00,100777.59454398075,0.0012301830834551275
2022-01-11 09:30:00,100572.7143136652,-0.002032993853868348
2022-01-11 09:45:00,100588.3668278503,0.00015563380477412458
2022-01-11 10:00:00,100576.90695139336,-0.0001139284473775648
2022-01-11 10:15:00,100666.90890795764,0.0008948570729836458
2022-01-11 10:30:00,100863.40386281691,0.0019519319406036129
2022-01-11 10:45:00,100759.4264471588,-0.0010308735544908298
2022-01-11 11:00:00,100819.24141208039,0.0005936413795781803
2022-01-11 11:15:00,100911.75895128156,0.0009176575612488413
2022-01-11 11:30:00,100846.9128210862,-0.0006426023178000007
2022-01-11 11:45:00,100897.50398300587,0.0005016629711751541
2022-01-11 12:00:00,100784.30276434583,-0.0011219427061257559
2022-01-11 12:15:00,100827.90619671858,0.00043264110756124907
2022-01-11 12:30:00,100861.1677893619,0.00032988478981632596
2022-01-11 12:45:00,100878.21784945639,0.00016904484122259866
