date,equity,strategy_return
2015-01-09 09:15:00,100000.0,0.0
2015-01-09 09:30:00,100000.0,0.0
2015-01-09 09:45:00,100000.0,0.0
2015-01-09 10:00:00,100000.0,0.0
2015-01-09 10:15:00,100000.0,0.0
2015-01-09 10:30:00,100000.0,0.0
2015-01-09 10:45:00,100000.0,0.0
2015-01-09 11:00:00,100000.0,0.0
2015-01-09 11:15:00,100000.0,0.0
2015-01-09 11:30:00,100000.0,0.0
2015-01-09 11:45:00,100000.0,0.0
2015-01-09 12:00:00,100000.0,0.0
2015-01-09 12:15:00,100000.0,0.0
2015-01-09 12:30:00,100000.0,0.0
2015-01-09 12:45:00,100000.0,0.0
2015-01-09 13:00:00,100000.0,0.0
2015-01-09 13:15:00,100000.0,0.0
2015-01-09 13:30:00,100000.0,0.0
2015-01-09 13:45:00,100000.0,0.0
2015-01-09 14:00:00,100000.0,0.0
2015-01-09 14:15:00,100000.0,0.0
2015-01-09 14:30:00,100000.0,0.0
2015-01-09 14:45:00,100000.0,0.0
2015-01-09 15:00:00,100000.0,0.0
2015-01-09 15:15:00,100000.0,0.0
2015-01-12 09:15:00,100000.0,0.0
2015-01-12 09:30:00,100000.0,0.0
2015-01-12 09:45:00,100000.0,0.0
2015-01-12 10:00:00,100000.0,0.0
2015-01-12 10:15:00,100000.0,0.0
2015-01-12 10:30:00,100000.0,0.0
2015-01-12 10:45:00,100000.0,0.0
2015-01-12 11:00:00,100000.0,0.0
2015-01-12 11:15:00,100000.0,0.0
2015-01-12 11:30:00,100000.0,0.0
2015-01-12 11:45:00,100000.0,0.0
2015-01-12 12:00:00,100000.0,0.0
2015-01-12 12:15:00,100000.0,0.0
2015-01-12 12:30:00,100000.0,0.0
2015-01-12 12:45:00,100000.0,0.0
2015-01-12 13:00:00,100000.0,0.0
2015-01-12 13:15:00,100000.0,0.0
2015-01-12 13:30:00,100000.0,0.0
2015-01-12 13:45:00,100000.0,0.0
2015-01-12 14:00:00,100000.0,0.0
2015-01-12 14:15:00,100000.0,0.0
2015-01-12 14:30:00,100000.0,0.0
2015-01-12 14:45:00,100000.0,0.0
2015-01-12 15:00:00,100000.0,0.0
2015-01-12 15:15:00,100000.0,0.0
